MultiMax v1.0,,,
12539,-0.36,145,
12549,-0.36,143,
12559,-0.359,144,
12569,-0.359,146,
12579,-0.359,142,
12589,-0.359,142,
12599,-0.359,138,
12609,-0.36,148,
12619,-0.359,145,
12629,-0.359,148,
12639,-0.359,144,
12649,-0.359,145,
12659,-0.36,145,
12669,-0.36,147,
12679,-0.359,143,
12689,-0.359,145,
12699,-0.359,144,
12709,-0.359,148,
12719,-0.36,142,
12729,-0.36,147,
12739,-0.359,142,
12749,-0.359,149,
12759,-0.359,149,
12769,-0.359,148,
12779,-0.36,150,
12789,-0.36,146,
12799,-0.359,145,
12809,-0.359,148,
12819,-0.36,145,
12829,-0.36,149,
12839,-0.36,145,
12849,-0.359,146,
12859,-0.359,149,
12869,-0.36,148,
12879,-0.359,140,
12889,-0.359,147,
12899,-0.359,142,
12909,-0.36,149,
12919,-0.359,148,
12929,-0.359,150,
12939,-0.36,146,
12949,-0.359,146,
12959,-0.36,147,
12969,-0.36,144,
12979,-0.36,152,
12989,-0.359,148,
12999,-0.359,148,
13009,-0.359,152,
13019,-0.359,150,
13029,-0.36,149,
13039,-0.359,148,
13049,-0.359,149,
13059,-0.359,146,
13069,-0.359,150,
13079,-0.359,153,
13089,-0.359,150,
13099,-0.359,145,
13109,-0.359,150,
13119,-0.359,148,
13129,-0.36,151,
13139,-0.36,153,
13149,-0.359,149,
13159,-0.359,145,
13169,-0.359,149,
13179,-0.359,155,
13189,-0.359,148,
13199,-0.36,149,
13209,-0.36,148,
13219,-0.359,151,
13229,-0.36,146,
13239,-0.36,153,
13249,-0.359,148,
13259,-0.359,147,
13269,-0.359,150,
13279,-0.36,150,
13289,-0.359,151,
13299,-0.359,153,
13309,-0.36,152,
13319,-0.36,154,
13329,-0.36,155,
13339,-0.359,153,
13349,-0.36,152,
13359,-0.359,151,
13369,-0.359,155,
13379,-0.36,153,
13389,-0.36,158,
13399,-0.36,147,
13409,-0.359,152,
13419,-0.36,155,
13429,-0.36,152,
13439,-0.36,152,
13449,-0.36,152,
13459,-0.359,159,
13469,-0.359,152,
13479,-0.359,155,
13489,-0.359,151,
13499,-0.359,153,
13509,-0.359,147,
13519,-0.359,155,
13529,-0.359,152,
13539,-0.359,151,
13549,-0.359,155,
13559,-0.36,154,
13569,-0.359,150,
13579,-0.36,152,
13589,-0.359,153,
13599,-0.36,152,
13609,-0.36,154,
13619,-0.359,155,
13629,-0.36,153,
13639,-0.359,152,
13649,-0.359,154,
13659,-0.359,153,
13669,-0.359,160,
13679,-0.359,152,
13689,-0.359,155,
13699,-0.36,150,
13709,-0.359,155,
13719,-0.36,158,
13729,-0.36,155,
13739,-0.359,153,
13749,-0.36,157,
13759,-0.359,155,
13769,-0.36,151,
13779,-0.36,154,
13789,-0.36,157,
13799,-0.36,154,
13809,-0.36,158,
13819,-0.36,160,
13829,-0.359,157,
13839,-0.36,158,
13849,-0.36,158,
13859,-0.36,157,
13869,-0.36,156,
13879,-0.36,155,
13889,-0.36,159,
13899,-0.36,158,
13909,-0.36,162,
13919,-0.36,156,
13929,-0.36,152,
13939,-0.36,160,
13949,-0.36,152,
13959,-0.36,161,
13969,-0.36,155,
13979,-0.359,156,
13989,-0.359,162,
13999,-0.36,156,
14009,-0.36,156,
14019,-0.36,163,
14029,-0.36,156,
14039,-0.36,158,
14049,-0.36,161,
14059,-0.36,157,
14069,-0.36,158,
14079,-0.36,157,
14089,-0.359,163,
14099,-0.36,163,
14109,-0.359,159,
14119,-0.359,158,
14129,-0.359,157,
14139,-0.359,160,
14149,-0.36,160,
14159,-0.359,160,
14169,-0.36,167,
14179,-0.359,159,
14189,-0.36,161,
14199,-0.36,162,
14209,-0.36,157,
14219,-0.36,164,
14229,-0.36,158,
14239,-0.36,160,
14249,-0.36,153,
14259,-0.36,160,
14269,-0.36,162,
14279,-0.36,160,
14289,-0.36,161,
14299,-0.36,164,
14309,-0.36,163,
14319,-0.359,164,
14329,-0.359,154,
14339,-0.36,163,
14349,-0.36,161,
14359,-0.36,160,
14369,-0.36,163,
14379,-0.36,163,
14389,-0.36,160,
14399,-0.36,164,
14409,-0.36,160,
14419,-0.36,165,
14429,-0.36,166,
14439,-0.36,162,
14449,-0.359,165,
14459,-0.36,161,
14469,-0.36,162,
14479,-0.36,161,
14489,-0.36,159,
14499,-0.359,163,
14509,-0.36,162,
14519,-0.36,165,
14529,-0.36,161,
14539,-0.36,166,
14549,-0.36,162,
14559,-0.36,160,
14569,-0.36,163,
14579,-0.36,163,
14589,-0.36,168,
14599,-0.36,160,
14609,-0.36,162,
14619,-0.359,167,
14629,-0.359,165,
14639,-0.359,169,
14649,-0.359,165,
14659,-0.36,167,
14669,-0.359,164,
14679,-0.359,170,
14689,-0.36,165,
14699,-0.36,165,
14709,-0.36,167,
14719,-0.36,167,
14729,-0.36,165,
14739,-0.359,167,
14749,-0.36,164,
14759,-0.36,165,
14769,-0.36,165,
14779,-0.36,164,
14789,-0.36,162,
14799,-0.359,167,
14809,-0.36,168,
14819,-0.36,167,
14829,-0.36,169,
14839,-0.36,162,
14849,-0.359,166,
14859,-0.36,167,
14869,-0.36,167,
14879,-0.36,172,
14889,-0.36,169,
14899,-0.36,169,
14909,-0.36,167,
14919,-0.36,168,
14929,-0.36,168,
14939,-0.36,167,
14949,-0.36,172,
14959,-0.359,170,
14969,-0.359,172,
14979,-0.36,167,
14989,-0.36,166,
14999,-0.36,169,
15009,-0.36,166,
15019,-0.359,167,
15029,-0.36,173,
15039,-0.36,169,
15049,-0.36,167,
15059,-0.36,168,
15069,-0.36,171,
15079,-0.36,166,
15089,-0.359,171,
15099,-0.36,168,
15109,-0.359,167,
15119,-0.36,170,
15129,-0.36,172,
15139,-0.36,170,
15149,-0.36,173,
15159,-0.36,172,
15169,-0.36,167,
15179,-0.36,171,
15189,-0.36,169,
15199,-0.36,174,
15209,-0.36,168,
15219,-0.36,169,
15229,-0.36,173,
15239,-0.36,170,
15249,-0.36,169,
15259,-0.36,166,
15269,-0.36,172,
15279,-0.36,170,
15289,-0.36,169,
15299,-0.359,172,
15309,-0.359,172,
15319,-0.36,170,
15329,-0.36,172,
15339,-0.36,171,
15349,-0.36,175,
15359,-0.36,169,
15369,-0.36,171,
15379,-0.36,175,
15389,-0.36,172,
15399,-0.36,175,
15409,-0.36,173,
15419,-0.36,172,
15429,-0.36,171,
15439,-0.36,172,
15449,-0.36,173,
15459,-0.36,175,
15469,-0.36,177,
15479,-0.36,177,
15489,-0.36,173,
15499,-0.36,173,
15509,-0.36,173,
15519,-0.359,177,
15529,-0.359,176,
15539,-0.36,170,
15549,-0.36,172,
15559,-0.36,174,
15569,-0.36,174,
15579,-0.36,175,
15589,-0.36,171,
15599,-0.36,177,
15609,-0.36,175,
15619,-0.36,175,
15629,-0.36,176,
15639,-0.36,177,
15649,-0.36,177,
15659,-0.36,174,
15669,-0.36,176,
15679,-0.36,175,
15689,-0.36,177,
15699,-0.36,172,
15709,-0.36,170,
15719,-0.36,174,
15729,-0.36,177,
15739,-0.36,177,
15749,-0.36,176,
15759,-0.36,181,
15769,-0.36,176,
15779,-0.36,175,
15789,-0.36,176,
15799,-0.359,175,
15809,-0.36,177,
15819,-0.36,174,
15829,-0.36,180,
15839,-0.36,177,
15849,-0.36,180,
15859,-0.359,180,
15869,-0.359,178,
15879,-0.36,181,
15889,-0.36,176,
15899,-0.36,180,
15909,-0.36,178,
15919,-0.36,177,
15929,-0.36,180,
15939,-0.36,177,
15949,-0.36,179,
15959,-0.36,179,
15969,-0.36,177,
15979,-0.36,178,
15989,-0.36,176,
15999,-0.36,179,
16009,-0.36,179,
16019,-0.36,175,
16029,-0.36,178,
16039,-0.36,174,
16049,-0.36,179,
16059,-0.36,180,
16069,-0.36,181,
16079,-0.36,175,
16089,-0.36,183,
16099,-0.36,178,
16109,-0.36,177,
16119,-0.36,177,
16129,-0.36,180,
16139,-0.36,181,
16149,-0.36,179,
16159,-0.36,178,
16169,-0.36,178,
16179,-0.36,182,
16189,-0.36,180,
16199,-0.359,179,
16209,-0.36,182,
16219,-0.359,177,
16229,-0.36,179,
16239,-0.36,181,
16249,-0.36,178,
16259,-0.36,188,
16269,-0.36,177,
16279,-0.36,185,
16289,-0.36,181,
16299,-0.36,180,
16309,-0.36,181,
16319,-0.36,179,
16329,-0.36,184,
16339,-0.36,177,
16349,-0.36,182,
16359,-0.36,180,
16369,-0.36,184,
16379,-0.36,184,
16389,-0.36,186,
16399,-0.36,178,
16409,-0.36,189,
16419,-0.36,183,
16429,-0.36,182,
16439,-0.36,181,
16449,-0.36,177,
16459,-0.36,181,
16469,-0.36,185,
16479,-0.36,183,
16489,-0.36,183,
16499,-0.359,186,
16509,-0.36,182,
16519,-0.36,187,
16529,-0.36,184,
16539,-0.36,183,
16549,-0.36,183,
16559,-0.36,187,
16569,-0.36,182,
16579,-0.36,188,
16589,-0.359,185,
16599,-0.359,187,
16609,-0.359,185,
16619,-0.359,184,
16629,-0.359,185,
16639,-0.36,185,
16649,-0.36,184,
16659,-0.36,189,
16669,-0.36,181,
16679,-0.36,191,
16689,-0.36,188,
16699,-0.36,184,
16709,-0.36,187,
16719,-0.36,183,
16729,-0.36,190,
16739,-0.36,187,
16749,-0.36,186,
16759,-0.36,183,
16769,-0.36,188,
16779,-0.36,189,
16789,-0.36,186,
16799,-0.36,185,
16809,-0.36,188,
16819,-0.36,186,
16829,-0.36,183,
16839,-0.36,190,
16849,-0.36,185,
16859,-0.36,182,
16869,-0.36,190,
16879,-0.36,187,
16889,-0.36,187,
16899,-0.36,187,
16909,-0.36,191,
16919,-0.36,189,
16929,-0.36,189,
16939,-0.36,188,
16949,-0.36,190,
16959,-0.36,186,
16969,-0.36,188,
16979,-0.36,192,
16989,-0.36,184,
16999,-0.36,193,
17009,-0.36,191,
17019,-0.36,189,
17029,-0.36,191,
17039,-0.36,194,
17049,-0.36,193,
17059,-0.36,195,
17069,-0.36,191,
17079,-0.36,185,
17089,-0.36,191,
17099,-0.36,191,
17109,-0.36,186,
17119,-0.36,185,
17129,-0.36,190,
17139,-0.36,191,
17149,-0.36,185,
17159,-0.36,189,
17169,-0.36,188,
17179,-0.36,192,
17189,-0.36,195,
17199,-0.36,187,
17209,-0.36,188,
17219,-0.36,187,
17229,-0.36,192,
17239,-0.36,195,
17249,-0.36,190,
17259,-0.36,197,
17269,-0.36,192,
17279,-0.36,193,
17289,-0.36,196,
17299,-0.36,190,
17309,-0.36,191,
17319,-0.36,190,
17329,-0.36,188,
17339,-0.36,195,
17349,-0.36,192,
17359,-0.36,189,
17369,-0.36,192,
17379,-0.36,196,
17389,-0.36,197,
17399,-0.36,193,
17409,-0.36,188,
17419,-0.36,195,
17429,-0.361,192,
17439,-0.361,192,
17449,-0.36,189,
17459,-0.36,195,
17469,-0.36,194,
17479,-0.36,196,
17489,-0.36,194,
17499,-0.36,192,
17509,-0.361,198,
17519,-0.36,198,
17529,-0.36,196,
17539,-0.36,198,
17549,-0.36,194,
17559,-0.36,196,
17569,-0.36,198,
17579,-0.36,191,
17589,-0.36,191,
17599,-0.36,197,
17609,-0.36,194,
17619,-0.36,193,
17629,-0.36,194,
17639,-0.361,191,
17649,-0.36,190,
17659,-0.36,199,
17669,-0.36,197,
17679,-0.36,192,
17689,-0.36,193,
17699,-0.36,191,
17709,-0.36,193,
17719,-0.36,191,
17729,-0.36,195,
17739,-0.36,200,
17749,-0.36,195,
17759,-0.36,193,
17769,-0.36,198,
17779,-0.36,196,
17789,-0.36,198,
17799,-0.36,196,
17809,-0.361,196,
17819,-0.36,202,
17829,-0.36,193,
17839,-0.36,198,
17849,-0.36,194,
17859,-0.36,200,
17869,-0.36,200,
17879,-0.36,194,
17889,-0.36,198,
17899,-0.36,200,
17909,-0.361,194,
17919,-0.36,199,
17929,-0.36,201,
17939,-0.36,195,
17949,-0.36,197,
17959,-0.36,199,
17969,-0.36,196,
17979,-0.36,199,
17989,-0.36,202,
17999,-0.36,199,
18009,-0.36,194,
18019,-0.36,200,
18029,-0.36,199,
18039,-0.36,197,
18049,-0.36,197,
18059,-0.36,195,
18069,-0.36,197,
18079,-0.36,195,
18089,-0.36,201,
18099,-0.36,199,
18109,-0.36,193,
18119,-0.36,201,
18129,-0.36,201,
18139,-0.36,197,
18149,-0.36,199,
18159,-0.36,192,
18169,-0.36,194,
18179,-0.36,201,
18189,-0.36,199,
18199,-0.36,202,
18209,-0.36,201,
18219,-0.36,201,
18229,-0.36,197,
18239,-0.36,200,
18249,-0.36,200,
18259,-0.36,197,
18269,-0.36,206,
18279,-0.36,199,
18289,-0.36,201,
18299,-0.36,199,
18309,-0.36,200,
18319,-0.36,200,
18329,-0.36,207,
18339,-0.36,195,
18349,-0.36,200,
18359,-0.36,201,
18369,-0.36,199,
18379,-0.359,205,
18389,-0.359,200,
18399,-0.36,204,
18409,-0.36,206,
18419,-0.36,205,
18429,-0.36,201,
18439,-0.36,201,
18449,-0.36,205,
18459,-0.36,201,
18469,-0.36,202,
18479,-0.36,205,
18489,-0.36,202,
18499,-0.36,205,
18509,-0.36,204,
18519,-0.36,202,
18529,-0.36,206,
18539,-0.36,211,
18549,-0.36,205,
18559,-0.36,201,
18569,-0.361,206,
18579,-0.36,204,
18589,-0.36,198,
18599,-0.36,209,
18609,-0.36,203,
18619,-0.36,212,
18629,-0.36,201,
18639,-0.36,206,
18649,-0.36,205,
18659,-0.36,201,
18669,-0.36,200,
18679,-0.36,204,
18689,-0.36,205,
18699,-0.36,207,
18709,-0.36,200,
18719,-0.36,203,
18729,-0.36,200,
18739,-0.36,205,
18749,-0.36,207,
18759,-0.36,209,
18769,-0.36,203,
18779,-0.36,209,
18789,-0.36,204,
18799,-0.36,209,
18809,-0.36,206,
18819,-0.36,211,
18829,-0.36,211,
18839,-0.36,208,
18849,-0.36,209,
18859,-0.36,208,
18869,-0.36,201,
18879,-0.36,211,
18889,-0.36,208,
18899,-0.36,210,
18909,-0.36,205,
18919,-0.36,201,
18929,-0.36,212,
18939,-0.36,211,
18949,-0.36,208,
18959,-0.36,210,
18969,-0.36,208,
18979,-0.36,214,
18989,-0.36,205,
18999,-0.36,206,
19009,-0.36,208,
19019,-0.36,210,
19029,-0.36,213,
19039,-0.36,209,
19049,-0.36,208,
19059,-0.36,208,
19069,-0.36,209,
19079,-0.36,214,
19089,-0.36,208,
19099,-0.36,211,
19109,-0.36,211,
19119,-0.36,213,
19129,-0.36,203,
19139,-0.36,209,
19149,-0.36,207,
19159,-0.36,218,
19169,-0.36,208,
19179,-0.36,213,
19189,-0.36,213,
19199,-0.36,210,
19209,-0.36,209,
19219,-0.36,214,
19229,-0.36,216,
19239,-0.36,213,
19249,-0.36,212,
19259,-0.36,212,
19269,-0.36,215,
19279,-0.36,210,
19289,-0.36,210,
19299,-0.36,213,
19309,-0.361,207,
19319,-0.36,212,
19329,-0.36,212,
19339,-0.36,211,
19349,-0.36,210,
19359,-0.36,213,
19369,-0.36,215,
19379,-0.361,216,
19389,-0.36,213,
19399,-0.361,214,
19409,-0.361,213,
19419,-0.36,212,
19429,-0.36,214,
19439,-0.36,210,
19449,-0.36,212,
19459,-0.36,212,
19469,-0.36,214,
19479,-0.36,215,
19489,-0.36,216,
19499,-0.36,218,
19509,-0.36,213,
19519,-0.36,212,
19529,-0.36,213,
19539,-0.36,215,
19549,-0.36,212,
19559,-0.36,216,
19569,-0.36,216,
19579,-0.36,214,
19589,-0.361,212,
19599,-0.36,208,
19609,-0.361,214,
19619,-0.36,210,
19629,-0.36,217,
19639,-0.361,216,
19649,-0.361,213,
19659,-0.36,219,
19669,-0.36,212,
19679,-0.36,215,
19689,-0.36,213,
19699,-0.36,214,
19709,-0.36,212,
19719,-0.36,216,
19729,-0.36,218,
19739,-0.36,216,
19749,-0.36,220,
19759,-0.36,219,
19769,-0.36,219,
19779,-0.36,218,
19789,-0.36,219,
19799,-0.36,220,
19809,-0.361,216,
19819,-0.36,217,
19829,-0.36,220,
19839,-0.36,217,
19849,-0.36,220,
19859,-0.361,219,
19869,-0.36,219,
19879,-0.36,220,
19889,-0.36,215,
19899,-0.36,218,
19909,-0.36,218,
19919,-0.36,218,
19929,-0.36,219,
19939,-0.36,219,
19949,-0.36,221,
19959,-0.36,222,
19969,-0.36,218,
19979,-0.36,218,
19989,-0.36,223,
19999,-0.36,218,
20009,-0.36,224,
20019,-0.36,220,
20029,-0.36,219,
20039,-0.36,222,
20049,-0.36,218,
20059,-0.36,219,
20069,-0.361,220,
20079,-0.361,221,
20089,-0.36,220,
20099,-0.36,217,
20109,-0.361,221,
20119,-0.36,220,
20129,-0.36,218,
20139,-0.36,220,
20149,-0.36,223,
20159,-0.36,219,
20169,-0.36,221,
20179,-0.36,225,
20189,-0.36,218,
20199,-0.36,222,
20209,-0.36,225,
20219,-0.361,220,
20229,-0.36,223,
20239,-0.361,222,
20249,-0.36,218,
20259,-0.36,222,
20269,-0.36,224,
20279,-0.36,221,
20289,-0.36,222,
20299,-0.361,225,
20309,-0.361,225,
20319,-0.361,222,
20329,-0.36,225,
20339,-0.36,221,
20349,-0.36,227,
20359,-0.36,224,
20369,-0.36,222,
20379,-0.36,221,
20389,-0.36,221,
20399,-0.36,224,
20409,-0.36,227,
20419,-0.36,221,
20429,-0.36,219,
20439,-0.36,222,
20449,-0.36,221,
20459,-0.36,223,
20469,-0.361,225,
20479,-0.361,224,
20489,-0.36,229,
20499,-0.36,222,
20509,-0.36,224,
20519,-0.36,221,
20529,-0.36,222,
20539,-0.361,220,
20549,-0.361,220,
20559,-0.36,220,
20569,-0.36,222,
20579,-0.36,226,
20589,-0.36,227,
20599,-0.361,219,
20609,-0.36,227,
20619,-0.36,220,
20629,-0.36,228,
20639,-0.36,226,
20649,-0.36,225,
20659,-0.36,228,
20669,-0.36,221,
20679,-0.36,227,
20689,-0.36,230,
20699,-0.36,224,
20709,-0.36,229,
20719,-0.36,224,
20729,-0.36,227,
20739,-0.361,227,
20749,-0.36,225,
20759,-0.36,232,
20769,-0.36,225,
20779,-0.36,226,
20789,-0.361,227,
20799,-0.36,222,
20809,-0.36,225,
20819,-0.361,227,
20829,-0.36,231,
20839,-0.36,227,
20849,-0.36,228,
20859,-0.36,226,
20869,-0.36,231,
20879,-0.36,227,
20889,-0.36,231,
20899,-0.36,230,
20909,-0.36,228,
20919,-0.36,229,
20929,-0.36,227,
20939,-0.36,232,
20949,-0.36,227,
20959,-0.36,232,
20969,-0.36,234,
20979,-0.36,231,
20989,-0.361,233,
20999,-0.36,223,
21009,-0.36,235,
21019,-0.36,223,
21029,-0.36,228,
21039,-0.36,232,
21049,-0.36,231,
21059,-0.361,231,
21069,-0.36,228,
21079,-0.36,231,
21089,-0.36,228,
21099,-0.36,230,
21109,-0.36,230,
21119,-0.36,228,
21129,-0.36,226,
21139,-0.361,229,
21149,-0.36,228,
21159,-0.361,232,
21169,-0.36,231,
21179,-0.36,229,
21189,-0.36,234,
21199,-0.36,233,
21209,-0.36,234,
21219,-0.36,230,
21229,-0.36,232,
21239,-0.36,234,
21249,-0.36,232,
21259,-0.36,229,
21269,-0.36,234,
21279,-0.36,230,
21289,-0.36,233,
21299,-0.36,235,
21309,-0.36,232,
21319,-0.36,231,
21329,-0.36,235,
21339,-0.36,233,
21349,-0.36,236,
21359,-0.36,234,
21369,-0.36,236,
21379,-0.36,232,
21389,-0.36,235,
21399,-0.36,236,
21409,-0.36,235,
21419,-0.361,236,
21429,-0.36,231,
21439,-0.36,235,
21449,-0.36,234,
21459,-0.36,237,
21469,-0.36,236,
21479,-0.36,232,
21489,-0.36,238,
21499,-0.36,228,
21509,-0.36,235,
21519,-0.36,236,
21529,-0.36,235,
21539,-0.36,233,
21549,-0.36,238,
21559,-0.361,233,
21569,-0.36,232,
21579,-0.36,237,
21589,-0.36,236,
21599,-0.36,240,
21609,-0.361,235,
21619,-0.36,239,
21629,-0.361,235,
21639,-0.36,237,
21649,-0.361,237,
21659,-0.36,231,
21669,-0.36,241,
21679,-0.36,236,
21689,-0.36,239,
21699,-0.36,237,
21709,-0.36,233,
21719,-0.36,242,
21729,-0.361,237,
21739,-0.36,237,
21749,-0.36,242,
21759,-0.36,239,
21769,-0.36,239,
21779,-0.36,235,
21789,-0.36,237,
21799,-0.36,240,
21809,-0.36,235,
21819,-0.36,240,
21829,-0.36,241,
21839,-0.36,241,
21849,-0.361,239,
21859,-0.36,236,
21869,-0.36,239,
21879,-0.36,245,
21889,-0.36,237,
21899,-0.36,236,
21909,-0.36,239,
21919,-0.36,241,
21929,-0.36,235,
21939,-0.361,236,
21949,-0.36,240,
21959,-0.36,236,
21969,-0.36,241,
21979,-0.36,234,
21989,-0.36,240,
21999,-0.36,243,
22009,-0.36,235,
22019,-0.361,241,
22029,-0.361,240,
22039,-0.361,243,
22049,-0.36,244,
22059,-0.36,242,
22069,-0.361,239,
22079,-0.36,238,
22089,-0.361,241,
22099,-0.36,240,
22109,-0.36,239,
22119,-0.36,246,
22129,-0.36,237,
22139,-0.361,243,
22149,-0.36,242,
22159,-0.36,243,
22169,-0.361,245,
22179,-0.36,240,
22189,-0.36,241,
22199,-0.36,241,
22209,-0.36,238,
22219,-0.36,246,
22229,-0.36,237,
22239,-0.36,241,
22249,-0.36,244,
22259,-0.36,244,
22269,-0.361,241,
22279,-0.36,244,
22289,-0.36,241,
22299,-0.36,246,
22309,-0.361,244,
22319,-0.36,242,
22329,-0.36,243,
22339,-0.36,243,
22349,-0.36,245,
22359,-0.36,246,
22369,-0.36,243,
22379,-0.36,244,
22389,-0.36,243,
22399,-0.36,247,
22409,-0.36,254,
22419,-0.36,246,
22429,-0.36,247,
22439,-0.36,241,
22449,-0.36,247,
22459,-0.36,245,
22469,-0.36,245,
22479,-0.36,242,
22489,-0.36,245,
22499,-0.36,244,
22509,-0.361,246,
22519,-0.361,249,
22529,-0.36,246,
22539,-0.361,241,
22549,-0.361,244,
22559,-0.361,242,
22569,-0.36,245,
22579,-0.36,250,
22589,-0.36,247,
22599,-0.36,245,
22609,-0.361,247,
22619,-0.36,241,
22629,-0.36,245,
22639,-0.36,248,
22649,-0.36,245,
22659,-0.36,244,
22669,-0.361,250,
22679,-0.361,250,
22689,-0.361,248,
22699,-0.36,248,
22709,-0.36,249,
22719,-0.36,250,
22729,-0.36,248,
22739,-0.361,249,
22749,-0.361,244,
22759,-0.361,247,
22769,-0.361,248,
22779,-0.361,243,
22789,-0.361,248,
22799,-0.36,247,
22809,-0.361,245,
22819,-0.361,246,
22829,-0.361,251,
22839,-0.361,251,
22849,-0.36,245,
22859,-0.361,251,
22869,-0.36,251,
22879,-0.361,250,
22889,-0.361,248,
22899,-0.361,246,
22909,-0.361,248,
22919,-0.36,246,
22929,-0.36,252,
22939,-0.361,253,
22949,-0.361,250,
22959,-0.361,247,
22969,-0.36,250,
22979,-0.36,253,
22989,-0.36,249,
22999,-0.36,252,
23009,-0.361,253,
23019,-0.361,243,
23029,-0.36,253,
23039,-0.36,251,
23049,-0.36,255,
23059,-0.36,248,
23069,-0.36,249,
23079,-0.361,254,
23089,-0.361,249,
23099,-0.361,250,
23109,-0.36,255,
23119,-0.36,253,
23129,-0.361,250,
23139,-0.361,251,
23149,-0.36,253,
23159,-0.361,256,
23169,-0.36,249,
23179,-0.361,248,
23189,-0.361,254,
23199,-0.361,251,
23209,-0.361,253,
23219,-0.361,253,
23229,-0.361,250,
23239,-0.36,256,
23249,-0.36,252,
23259,-0.36,255,
23269,-0.361,254,
23279,-0.361,253,
23289,-0.361,251,
23299,-0.361,255,
23309,-0.36,255,
23319,-0.361,251,
23329,-0.36,252,
23339,-0.361,251,
23349,-0.361,254,
23359,-0.36,254,
23369,-0.361,252,
23379,-0.361,255,
23389,-0.361,254,
23399,-0.361,255,
23409,-0.361,254,
23419,-0.361,251,
23429,-0.361,252,
23439,-0.361,254,
23449,-0.361,253,
23459,-0.361,256,
23469,-0.361,259,
23479,-0.361,256,
23489,-0.361,254,
23499,-0.36,261,
23509,-0.361,256,
23519,-0.361,253,
23529,-0.361,254,
23539,-0.36,250,
23549,-0.361,258,
23559,-0.36,258,
23569,-0.361,255,
23579,-0.361,258,
23589,-0.361,258,
23599,-0.361,257,
23609,-0.361,256,
23619,-0.361,261,
23629,-0.361,254,
23639,-0.361,257,
23649,-0.361,258,
23659,-0.361,258,
23669,-0.361,256,
23679,-0.361,255,
23689,-0.361,256,
23699,-0.361,256,
23709,-0.36,258,
23719,-0.36,256,
23729,-0.36,259,
23739,-0.361,258,
23749,-0.36,258,
23759,-0.36,259,
23769,-0.361,256,
23779,-0.361,258,
23789,-0.36,263,
23799,-0.36,261,
23809,-0.361,259,
23819,-0.361,259,
23829,-0.36,255,
23839,-0.361,256,
23849,-0.361,258,
23859,-0.361,260,
23869,-0.361,258,
23879,-0.361,256,
23889,-0.361,260,
23899,-0.361,255,
23909,-0.361,258,
23919,-0.361,257,
23929,-0.36,258,
23939,-0.361,259,
23949,-0.361,257,
23959,-0.361,262,
23969,-0.361,262,
23979,-0.361,259,
23989,-0.361,261,
23999,-0.36,256,
24009,-0.36,263,
24019,-0.361,254,
24029,-0.36,259,
24039,-0.361,263,
24049,-0.361,261,
24059,-0.361,258,
24069,-0.36,258,
24079,-0.361,256,
24089,-0.361,264,
24099,-0.361,258,
24109,-0.361,262,
24119,-0.361,260,
24129,-0.36,262,
24139,-0.361,264,
24149,-0.361,264,
24159,-0.361,263,
24169,-0.36,260,
24179,-0.36,262,
24189,-0.36,266,
24199,-0.36,263,
24209,-0.361,262,
24219,-0.361,265,
24229,-0.361,263,
24239,-0.361,266,
24249,-0.361,259,
24259,-0.361,264,
24269,-0.361,257,
24279,-0.361,263,
24289,-0.361,263,
24299,-0.36,262,
24309,-0.361,265,
24319,-0.361,262,
24329,-0.36,258,
24339,-0.361,265,
24349,-0.361,262,
24359,-0.361,263,
24369,-0.361,261,
24379,-0.361,264,
24389,-0.361,261,
24399,-0.361,263,
24409,-0.361,267,
24419,-0.361,259,
24429,-0.361,266,
24439,-0.361,265,
24449,-0.361,265,
24459,-0.361,260,
24469,-0.361,264,
24479,-0.361,267,
24489,-0.361,264,
24499,-0.361,264,
24509,-0.361,267,
24519,-0.361,260,
24529,-0.361,261,
24539,-0.361,268,
24549,-0.361,263,
24559,-0.361,265,
24569,-0.36,267,
24579,-0.361,265,
24589,-0.36,264,
24599,-0.36,267,
24609,-0.361,263,
24619,-0.361,265,
24629,-0.361,264,
24639,-0.361,266,
24649,-0.361,268,
24659,-0.361,268,
24669,-0.36,270,
24679,-0.361,266,
24689,-0.36,266,
24699,-0.361,266,
24709,-0.361,271,
24719,-0.361,265,
